Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
"Total U.S.",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",162585783.00,169761056.50,0.044132232,204974123.00,176028113.30,-0.141217873,1.260713693,1.036916929,-0.177515931
California,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",26047510.10,25116916.63,-0.035726772,36005651.88,30648806.44,-0.148777905,1.382306859,1.220245577,-0.117239729
"Great Lakes",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",17730662.20,17382372.16,-0.019643375,20259826.50,17931367.66,-0.114929851,1.142643533,1.031583462,-0.097195729
Midsouth,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",16964991.25,17704395.28,0.043584109,21149376.25,19293560.16,-0.087748029,1.246648226,1.089761037,-0.125847201
Northeast,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",23952440.37,22929002.32,-0.042727924,33761361.92,28198030.23,-0.164783983,1.409516584,1.229797522,-0.127504042
Plains,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",7537072.80,8538398.51,0.132853395,9512872.50,8306985.21,-0.126763740,1.262144170,0.972897341,-0.229170990
"South Central",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",20401126.23,22932480.62,0.124079150,21999283.65,18112531.99,-0.176676283,1.078336726,0.789820006,-0.267557167
Southeast,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",21546958.37,25882766.64,0.201226001,26708669.98,23897126.20,-0.105267083,1.239556392,0.923283300,-0.255150225
West,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",28405021.72,29274724.29,0.030617916,35577080.35,29639705.41,-0.166887639,1.252492630,1.012467449,-0.191637999
Albany,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",572035.32,524167.61,-0.083679643,665865.06,574355.90,-0.137428980,1.164027886,1.095748569,-0.058657802
Atlanta,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",3277755.68,3612557.49,0.102143611,4087274.75,3411666.11,-0.165295628,1.246973584,0.944390814,-0.242653712
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",4132230.27,4196979.62,0.015669347,5756445.56,5128360.28,-0.109109914,1.393060207,1.221916889,-0.122854215
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",1330698.10,1611510.24,0.211026185,1569952.60,1386459.53,-0.116878095,1.179796229,0.860347949,-0.270765640
Boise,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",488927.23,479617.85,-0.019040415,685420.58,520794.15,-0.240183084,1.401886712,1.085852317,-0.225435046
Boston,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2828714.30,2553563.56,-0.097270600,4301107.93,3486743.22,-0.189338359,1.520516913,1.365442110,-0.101988213
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",824905.49,817895.89,-0.008497462,1142980.78,926583.30,-0.189327310,1.385589974,1.132886613,-0.182379612
Charlotte,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",1451213.55,1532929.20,0.056308491,1995925.72,1812735.06,-0.091782305,1.375349424,1.182530193,-0.140196540
Chicago,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",3765699.64,3796991.18,0.008309622,5142560.60,4172988.42,-0.188538794,1.365632177,1.099025051,-0.195226160
