Geography,Period,2020Units,2021Units,2022Units ,2023Units ,2020Dollars,2021Dollars,2022Dollars,2023Dollars,2020ASP,2021ASP,2022ASP,2023ASP
Total U.S.,1,193716227,204264892.7,162585783,169761056.5,186384248.3,190571271.8,204974123,176028113.3,0.962150932,0.932961457,1.260713693,1.036916929
California,1,28818768.55,29205462.58,26047510.1,25116916.63,31290184.81,34388403.2,36005651.88,30648806.44,1.085757178,1.177464768,1.382306859,1.220245577
Great Lakes,1,23906201.32,23749632.11,17730662.2,17382372.16,21182881.7,21764440.45,20259826.5,17931367.66,0.88608313,0.916411688,1.142643533,1.031583462
Midsouth,1,20237933.94,21934182,16964991.25,17704395.28,19573776.79,20400550.29,21149376.25,19293560.16,0.967182562,0.930080287,1.246648226,1.089761037
Northeast,1,26503417.49,30725275.33,23952440.37,22929002.32,31632311.09,32067713.05,33761361.92,28198030.23,1.193518198,1.043691642,1.409516584,1.229797522
Plains,1,11201141.31,10822466.03,7537072.8,8538398.51,10023406.44,9220378.34,9512872.5,8306985.21,0.894855815,0.851966485,1.26214417,0.972897341
South Central,1,24434006.26,25418202.71,20401126.23,22932480.62,18508212.63,18566349.28,21999283.65,18112531.99,0.757477609,0.730435173,1.078336726,0.789820006
Southeast,1,27935093.1,28532717.41,21546958.37,25882766.64,23957948.12,23161904.95,26708669.98,23897126.2,0.857629077,0.811766528,1.239556392,0.9232833
West,1,30679665.03,33876954.54,28405021.72,29274724.29,30215526.76,31001532.23,35577080.35,29639705.41,0.984871469,0.915121582,1.25249263,1.012467449
Albany,1,621780.11,657632.76,572035.32,524167.61,707743.71,698868.06,665865.06,574355.9,1.138254008,1.062702625,1.164027886,1.095748569
Atlanta,1,3892987.71,3918823.05,3277755.68,3612557.49,3400594.63,3269349.66,4087274.75,3411666.11,0.873517947,0.834268253,1.246973584,0.944390814
Baltimore/Washington,1,5287537.54,5870858.22,4132230.27,4196979.62,6023909.59,6055129.26,5756445.56,5128360.28,1.139265593,1.031387411,1.393060207,1.221916889
Birmingham/Montgomery,1,1629717,1710687.88,1330698.1,1611510.24,1373403.8,1350328.14,1569952.6,1386459.53,0.842725327,0.78934805,1.179796229,0.860347949
